,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi
1027,9,64,9,1,B6,1,6,ZZ.09.064,7.0,J2,143,0.17726000215567408,77.76211263434479,13.930320837779536,-57.41147375118902,685.4711967009022,687.8712370966316,-0.08355973491381742
1051,9,65,9,1,C6,2,6,ZZ.09.065,7.0,J2,140,0.17998707911191522,77.72383446823912,14.14233204085398,-55.593516517666195,685.6186064627651,687.868819330215,-0.08090818347546985
1075,9,66,9,1,D6,3,6,ZZ.09.066,7.0,J2,141,0.18271415606815636,77.68497827432,14.354238068195365,-53.776350589622986,685.7653366105008,687.8706221225409,-0.07825785612718675
1099,9,67,9,1,E6,4,6,ZZ.09.067,7.0,J2,138,0.1854412330243975,77.64554434155879,14.566037343870406,-51.95721874822626,685.9049215345666,687.869983329256,-0.07560549610241316
1028,9,68,9,1,B7,1,7,ZZ.09.068,7.0,J2,136,0.18816830998063863,77.60553296322344,14.777728292739726,-50.13856152892742,686.0410858052895,687.8708067399652,-0.07295420042336169
1052,9,69,9,1,C7,2,7,ZZ.09.069,7.0,J2,137,0.19089538693687977,77.56494443687633,14.989309340469564,-48.318922629383465,686.1712203562819,687.8703816339918,-0.07030212187648234
1029,9,70,9,1,B8,1,8,ZZ.09.070,7.0,J2,133,0.1936224638931209,77.52377906437206,15.200778913543498,-46.499655140325395,686.2968054462156,687.8702807171203,-0.06765104449769496
1053,9,71,9,1,C8,2,8,ZZ.09.071,7.0,J2,130,0.19634954084936207,77.48203715185521,15.412135439274131,-44.68013136443993,686.4198191470464,687.8724316736407,-0.06499985599140627
1077,9,72,9,1,D8,3,8,ZZ.09.072,7.0,J2,131,0.19907661780560318,77.43971900975805,15.623377345814788,-42.85986101629286,686.532547222701,687.8691053408535,-0.06234855115682962
1101,9,73,9,1,E8,4,8,ZZ.09.073,7.0,J2,128,0.20180369476184434,77.39682495279823,15.834503062171219,-41.03894815360681,686.6434715167194,687.8687754521834,-0.0596964633656141
1125,9,74,9,1,F8,5,8,ZZ.09.074,7.0,J2,129,0.20453077171808545,77.35335529997646,16.045511018213265,-39.21805191707069,686.7521353117617,687.8710278471061,-0.05704460317432171
1076,9,75,9,1,D7,3,7,ZZ.09.075,7.0,J2,134,0.20725784867432662,77.30931037457412,16.256399644686553,-37.397658712482176,686.8551472152419,687.8725013643494,-0.054393955900122894
1100,9,76,9,1,E7,4,7,ZZ.09.076,7.0,J2,135,0.20998492563056778,77.26469050415088,16.467167373224157,-35.576367530620416,686.9498002930271,687.8704137039938,-0.05174266339801707
1124,9,77,9,1,F7,5,7,ZZ.09.077,7.0,J2,132,0.2127120025868089,77.21949602054218,16.677812636358247,-33.754731041317896,687.0427287874738,687.8714218859583,-0.049090995079319515
1123,9,78,9,1,F6,5,6,ZZ.09.078,7.0,J2,139,0.21543907954305005,77.17372725985689,16.88833386753178,-31.932775452592495,687.1297745523339,687.8713754943193,-0.04643928679431574
1145,9,79,9,1,F2,5,2,ZZ.09.079,7.0,J2,159,0.21816615649929116,77.12738456247473,17.098729501110125,-30.11092476642191,687.2120141764294,687.8713689482316,-0.04378805499922631
1283,9,80,11,1,B6,1,6,ZZ.09.080,6.0,J2,143,0.22089323345553233,77.08046827304376,17.308997972392714,-28.288119623141178,687.2881325089005,687.8700420859925,-0.04113582137825981
1284,9,81,11,1,B7,1,7,ZZ.09.081,6.0,J2,136,0.22362031041177344,77.03297874047777,17.519137717624666,-26.466042074886452,687.3621396243122,687.8714722766326,-0.03848477123213295
1308,9,82,11,1,C7,2,7,ZZ.09.082,6.0,J2,137,0.2263473873680146,76.98491631795379,17.729147174008457,-24.64364878209043,687.4293060014529,687.8708891753846,-0.035833648302020724
1285,9,83,11,1,B8,1,8,ZZ.09.083,6.0,J2,133,0.22907446432425574,76.93628136290936,17.93902477971548,-22.820934246980755,687.4921302066161,687.8707902912696,-0.0331822821835969
1309,9,84,11,1,C8,2,8,ZZ.09.084,6.0,J2,130,0.23180154128049688,76.88707423703991,18.14876897389772,-20.99792403724495,687.5497990911073,687.8703649991733,-0.030530733082770732
1333,9,85,11,1,D8,3,8,ZZ.09.085,6.0,J2,131,0.234528618236738,76.83729530629611,18.35837819669932,-19.17489353234751,687.6039066742678,687.8712154289435,-0.027879314172205388
1357,9,86,11,1,E8,4,8,ZZ.09.086,6.0,J2,128,0.23725569519297915,76.78694494088107,18.567850889268207,-17.35125662754299,687.6520861375573,687.8709600469331,-0.025227256569789327
1381,9,87,11,1,F8,5,8,ZZ.09.087,6.0,J2,129,0.23998277214922029,76.73602351524765,18.77718549376767,-15.527915898273195,687.6958098731996,687.8710948203156,-0.022575792329609514
1332,9,88,11,1,D7,3,7,ZZ.09.088,6.0,J2,134,0.24270984910546142,76.68453140809564,18.98638045338796,-13.70496326887861,687.73418858672,687.8707292574932,-0.01992506667107419
1356,9,89,11,1,E7,4,7,ZZ.09.089,6.0,J2,135,0.24543692606170256,76.63246900236898,19.195434212357842,-11.881380027096998,687.7714539624852,687.874072833843,-0.01727346815863009
1380,9,90,11,1,F7,5,7,ZZ.09.090,6.0,J2,132,0.24816400301794372,76.57983668525284,19.40434521595621,-10.058205203757181,687.7963549638006,687.8698956877029,-0.014622770564241026
1307,9,91,11,1,C6,2,6,ZZ.09.091,6.0,J2,140,0.25089107997418486,76.52663484817086,19.613111910523585,-8.233969394130918,687.8196401748847,687.8689233148212,-0.011970545208053388
1331,9,92,11,1,D6,3,6,ZZ.09.092,6.0,J2,141,0.253618156930426,76.4728638867821,19.821732743473742,-6.41032963340377,687.841223701173,687.871093555134,-0.00931922053659811
1355,9,93,11,1,E6,4,6,ZZ.09.093,6.0,J2,138,0.25634523388666713,76.4185242009782,20.03020616330519,-4.586577922056874,687.8546202327741,687.8699115912899,-0.006667847846861163
1379,9,94,11,1,F6,5,6,ZZ.09.094,6.0,J2,139,0.25907231084290827,76.36361619488038,20.23853061961277,-2.7627781084543326,687.8643586125477,687.8699068808928,-0.004016436115187062
1401,9,95,11,1,F2,5,2,ZZ.09.095,6.0,J2,159,0.2617993877991494,76.3081402768364,20.44670456309914,-0.9388509508507288,687.8693913148595,687.8700320183917,-0.0013648671967692136
1540,9,96,13,1,B7,1,7,ZZ.09.096,5.0,J2,136,0.26452646475539054,76.25209685941756,20.654726445586306,0.885036873318379,687.8702179996567,687.8707873584706,0.0012866328004745085
1541,9,97,13,1,B8,1,8,ZZ.09.097,5.0,J2,133,0.2672535417116317,76.19548635941564,20.862594720027168,2.7090341951503043,687.8646949634042,687.8700294702246,0.003938303868551967
1565,9,98,13,1,C8,2,8,ZZ.09.098,5.0,J2,130,0.2699806186678728,76.13830919783975,21.07030784051697,4.532703605410536,687.8565404774621,687.8714746808425,0.006589510650360737
1589,9,99,13,1,D8,3,8,ZZ.09.099,5.0,J2,131,0.27270769562411395,76.08056579991326,21.277864262304853,6.356485718094698,687.843979941678,687.8733500090636,0.009240910680711197
1613,9,100,13,1,E8,4,8,ZZ.09.100,5.0,J2,128,0.2754347725803551,76.02225659507056,21.4852624418053,8.180348016510802,687.8250705189853,687.8737135027899,0.011892503937563982
1637,9,101,13,1,F8,5,8,ZZ.09.101,5.0,J2,129,0.27816184953659623,75.96338201695399,21.69250083660965,10.004132016192603,687.7991491426545,687.8719010242801,0.014544110186179305
1564,9,102,13,1,C7,2,7,ZZ.09.102,5.0,J2,137,0.2808889264928374,75.90394250341048,21.89957790549754,11.82801609267838,687.7682846706072,687.8699843454706,0.017195980795069704
1588,9,103,13,1,D7,3,7,ZZ.09.103,5.0,J2,134,0.2836160034490785,75.84393849648836,22.10649210844837,13.651043190184877,687.7344161654319,687.8698846137893,0.01984668860689221
1612,9,104,13,1,E7,4,7,ZZ.09.104,5.0,J2,135,0.2863430804053197,75.78337044243409,22.313241906652788,15.475431209126455,687.6986928561274,687.8727942920367,0.022499417169178845
1636,9,105,13,1,F7,5,7,ZZ.09.105,5.0,J2,132,0.2890701573615608,75.72223879168891,22.51982576252409,17.29785144594849,687.6521516061295,687.8696804433129,0.02514964035618189
1539,9,106,13,1,B6,1,6,ZZ.09.106,5.0,J2,143,0.29179723431780197,75.66054399888546,22.72624213970969,19.12108835845002,687.6052159321474,687.8710264265436,0.02780107165359193
1563,9,107,13,1,C6,2,6,ZZ.09.107,5.0,J2,140,0.29452431127404305,75.5982865228445,22.932489503102524,20.94418850558535,687.5521705618984,687.8710971370547,0.030452545641484564
1587,9,108,13,1,D6,3,6,ZZ.09.108,5.0,J2,141,0.29725138823028424,75.53546682657138,23.138566318852483,22.766869616634924,687.4941055204891,687.8709729866193,0.03310363312825544
1611,9,109,13,1,E6,4,6,ZZ.09.109,5.0,J2,138,0.2999784651865254,75.47208537725267,23.34447105437779,24.58990759266158,687.4334762982224,687.8731335725174,0.03575535465698697
1635,9,110,13,1,F6,5,6,ZZ.09.110,5.0,J2,139,0.3027055421427665,75.40814264625268,23.550202178376445,26.412574224291593,687.3643241536607,687.8716000798205,0.03840697719197767
1657,9,111,13,1,F2,5,2,ZZ.09.111,5.0,J2,159,0.30543261909900765,75.34363910910993,23.755758160837576,28.2347422293896,687.290683152046,687.8703975432917,0.04105813649438732
1797,9,112,15,1,B8,1,8,ZZ.09.112,4.0,J2,133,0.3081596960552488,75.2785752455336,23.961137473052823,30.05683493409445,687.2149153819929,687.8719017736769,0.043709312165958907
1821,9,113,15,1,C8,2,8,ZZ.09.113,4.0,J2,130,0.3108867730114899,75.21295153940002,24.166338587627724,31.879610465073345,687.1320305081874,687.8711630194344,0.04636192870742068
1845,9,114,15,1,D8,3,8,ZZ.09.114,4.0,J2,131,0.31361384996773106,75.14676847874902,24.37135997849305,33.701002131416935,687.0453105076963,687.8713660527516,0.04901279605464181
1869,9,115,15,1,E8,4,8,ZZ.09.115,4.0,J2,128,0.3163409269239722,75.08002655578032,24.57620012091618,35.52220357070005,686.9538954297169,687.8717041662499,0.051663719507909656
1893,9,116,15,1,F8,5,8,ZZ.09.116,4.0,J2,129,0.31906800388021334,75.0127262668499,24.780857491512425,37.34300424814631,686.8536027709382,687.8679899557,0.0543147406074248
1796,9,117,15,1,B7,1,7,ZZ.09.117,4.0,J2,136,0.3217950808364545,74.94486811246621,24.985330568256348,39.16450282539123,686.7562514098978,687.8720863155698,0.05696654118635494
1820,9,118,15,1,C7,2,7,ZZ.09.118,4.0,J2,137,0.3245221577926956,74.87645259728657,25.18961783049311,40.985178130762286,686.6469053133325,687.8689972682203,0.059618135797282895
1844,9,119,15,1,D7,3,7,ZZ.09.119,4.0,J2,134,0.32724923474893675,74.80748023011336,25.393717758949762,42.80536690114763,686.5376269473481,687.8707819423921,0.06226902351786605
1868,9,120,15,1,E7,4,7,ZZ.09.120,4.0,J2,135,0.3299763117051779,74.73795152389017,25.597628835746534,44.62623115144281,686.4226219145538,687.8717295999543,0.0649213988629247
1892,9,121,15,1,F7,5,7,ZZ.09.121,4.0,J2,132,0.3327033886614191,74.66786699569815,25.80134954440815,46.44596539941758,686.3008710400361,687.8707097210901,0.06757277141668475
1795,9,122,15,1,B6,1,6,ZZ.09.122,4.0,J2,143,0.33543046561766016,74.597227166752,26.00487836987507,48.265321254220446,686.1762962149852,687.871681873217,0.07022387251465578
1819,9,123,15,1,C6,2,6,ZZ.09.123,4.0,J2,140,0.33815754257390135,74.5260325623962,26.208213798514816,50.084439356634576,686.0462212141915,687.8719856978767,0.07287518495664906
1843,9,124,15,1,D6,3,6,ZZ.09.124,4.0,J2,141,0.3408846195301425,74.454283712101,26.411354318133146,51.903512978400855,685.9106557775723,687.8716467254035,0.07552701420191092
1867,9,125,15,1,E6,4,6,ZZ.09.125,4.0,J2,138,0.34361169648638357,74.38198114945864,26.61429841798538,53.722031337699995,685.7709285643914,687.8719525573902,0.07817849517788726
1891,9,126,15,1,F6,5,6,ZZ.09.126,4.0,J2,139,0.3463387734426247,74.30912541217921,26.81704458878759,55.540301816420104,685.6290938706998,687.8749737327387,0.08082984334863963
1913,9,127,15,1,F2,5,2,ZZ.09.127,4.0,J2,159,0.3490658503988659,74.23571704208676,27.019591322727827,57.357245410307684,685.4765527853085,687.8720506166013,0.08348052517413009
2053,9,128,17,1,B8,1,8,ZZ.09.128,3.0,J2,133,0.35179292735510703,74.16175658511524,27.221937113477356,59.17505675594598,685.321169040957,687.8712031170758,0.08613282323176864
2077,9,129,17,1,C8,2,8,ZZ.09.129,3.0,J2,130,0.35452000431134817,74.08724459130444,27.424080456201832,60.991961800743645,685.1615009835003,687.8708467686841,0.08878434907162774
2101,9,130,17,1,D8,3,8,ZZ.09.130,3.0,J2,131,0.35724708126758925,74.01218161479588,27.626019847572515,62.80845984508316,684.9970854616745,687.8705617477026,0.09143589998927486
2125,9,131,17,1,E8,4,8,ZZ.09.131,3.0,J2,128,0.35997415822383044,73.93656821382874,27.827753785777446,64.62383056941368,684.8275298457693,687.8698896681859,0.09408650488386162
2149,9,132,17,1,F8,5,8,ZZ.09.132,3.0,J2,129,0.3627012351800716,73.86040495073563,28.029280770532587,66.43999120647261,684.6544770354707,687.8706458021231,0.09673873036472008
2052,9,133,17,1,B7,1,7,ZZ.09.133,3.0,J2,136,0.3654283121363127,73.7836923919385,28.230599303093015,68.25494212509417,684.4764540029493,687.8711748641249,0.0993898983654042
2076,9,134,17,1,C7,2,7,ZZ.09.134,3.0,J2,137,0.3681553890925539,73.70643110794437,28.431707886264064,70.06975355891079,684.2918876458293,687.8700152366716,0.10204181090687432
2100,9,135,17,1,D7,3,7,ZZ.09.135,3.0,J2,134,0.370882466048795,73.62862167334109,28.632605024412424,71.88416198282633,684.1057428438805,687.8720812301883,0.10469337086824985
2124,9,136,17,1,E7,4,7,ZZ.09.136,3.0,J2,135,0.3736095430050361,73.55026466679305,28.833289223477323,73.69763337564025,683.9115301724653,687.8708616215788,0.10734479848677496
