,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi
2026,2,125,16,1,F14,5,14,ZZ.02.125,0.0,J1,36,0.5154175447295753,62.64626335982722,35.488669840544446,104.74164153485228,424.3051211677294,437.04192856129606,0.24201603736932387
1979,2,126,16,1,D15,3,15,ZZ.02.126,0.0,J1,35,0.5195081601639371,62.50056913064315,35.74463397974158,106.42134265801447,423.88927463574754,437.04418463623875,0.24597539835989912
2003,2,127,16,1,E15,4,15,ZZ.02.127,0.0,J1,32,0.5235987755982988,62.353829072479584,35.99999999999999,108.30241247416464,423.4036899762574,437.0355789100411,0.2504205687102735
139,3,0,2,1,B15,1,15,ZZ.03.000,7.0,J1,37,0.0040906154343617095,72.9993892414376,0.2986140939151396,-112.09571897551773,432.96584140462187,447.24140018098774,-0.2533393016064584
187,3,1,2,1,D15,3,15,ZZ.03.001,7.0,J1,35,0.008181230868723419,72.99755697597028,0.5972231910874104,-110.18295416246474,433.4627412943208,447.2473940431124,-0.2489205850343117
138,3,2,2,1,B14,1,14,ZZ.03.002,7.0,J1,40,0.01227184630308513,72.99450323425755,0.8958222948575546,-108.46613296618773,433.89698599927004,447.24880822634896,-0.2449610637869526
162,3,3,2,1,C14,2,14,ZZ.03.003,7.0,J1,41,0.016362461737446838,72.99022806739801,1.1944064087335349,-106.74716073001373,434.32286877855086,447.2486005209515,-0.24100142152039034
234,3,4,2,1,F14,5,14,ZZ.03.004,7.0,J1,36,0.020453077171808547,72.9847315469285,1.4929705364741421,-105.02771302399866,434.7445839940826,447.2512423853503,-0.23704299246084404
137,3,5,2,1,B13,1,13,ZZ.03.005,7.0,J1,47,0.02454369260617026,72.9780137648229,1.791509682172597,-103.30513779025797,435.1547348694792,447.24891813529405,-0.2330838408273576
209,3,6,2,1,E13,4,13,ZZ.03.006,7.0,J1,42,0.028634308040531967,72.97007483349063,2.0900188503401473,-101.58125893119998,435.5603607086898,447.2489016048351,-0.22912416945131628
251,3,7,2,1,F9,5,9,ZZ.03.007,7.0,J1,63,0.032724923474893676,72.9609148857747,2.388493045989658,-99.85622702507169,435.9592944577304,447.2491168239069,-0.22516538754744628
136,3,8,2,1,B12,1,12,ZZ.03.008,7.0,J1,50,0.03681553890925539,72.95053407494952,2.686927274719195,-98.12932255284521,436.3500456653129,447.2479472248039,-0.2212066007709902
208,3,9,2,1,E12,4,12,ZZ.03.009,7.0,J1,49,0.04090615434361709,72.93893257471836,2.985316542795591,-96.40026862407129,436.73612029826364,447.2487569171909,-0.2172454161304761
207,3,10,2,1,E11,4,11,ZZ.03.010,7.0,J1,52,0.044996769777978805,72.92611057921043,3.283655857238016,-94.6708283851166,437.11260139008084,447.2471263643042,-0.21328800419038285
206,3,11,2,1,E10,4,10,ZZ.03.011,7.0,J1,59,0.04908738521234052,72.91206830297759,3.581940225901515,-92.93976667765193,437.4842316161141,447.2474182629097,-0.20932933293924552
